prompt_id,prompt_class,prompt_subtype,pair_id,prompt_text,layer,mean_forman_curvature_mean,mean_forman_curvature_std,density_mean,density_std,n_edges_mean,n_edges_std,lcc_size_mean,lcc_size_std,row_entropy_mean_mean,row_entropy_mean_std,avg_shortest_path_lcc_mean,avg_shortest_path_lcc_std
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,25.771538199159405,37.58333881224734,0.3874458874458874,0.12917660868768302,51.142857142857146,17.051312346774154,12.0,0.0,1.0525369520311232,0.4745324508142918,1.5243097731957331,0.6408605062018276
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,8,39.98106855470066,27.206668257192288,0.4053030303030303,0.10390542575285928,51.357142857142854,18.628378445707064,11.428571428571429,2.138089935299395,0.9999994603512681,0.41812506780883324,1.4420249999883425,0.5808128992145818
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,15,47.87474769231181,31.915745614117657,0.461038961038961,0.08672669073102729,60.857142857142854,11.447923176495598,12.0,0.0,1.2482601017146917,0.3284509140985576,1.6926481730363814,0.4337312915065637
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,23,26.023919173075456,52.281655374886164,0.4063852813852814,0.08656109307149445,53.642857142857146,11.426064285437267,12.0,0.0,0.8993240950943588,0.2830142549536822,1.0511671051423512,0.42877719824475535
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,0,19.042365151509188,38.444236088085255,0.38636363636363635,0.13586154651701926,42.5,14.944770116872116,11.0,0.0,0.933563450404576,0.43951999384839374,1.2901940691135745,0.6186232046046355
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,8,29.64403181001666,24.29183053211838,0.41818181818181815,0.10909090909090909,44.714285714285715,15.284122336738724,10.571428571428571,1.6035674514745464,1.0050672258649553,0.40818592411692867,1.3758912133216779,0.544433628108575
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,15,43.97963124824071,22.322918133155515,0.47337662337662334,0.0867191274498401,52.07142857142857,9.53910401948241,11.0,0.0,1.2314365931919642,0.30296991566450954,1.5587403610106254,0.40344969654134755
A02,descriptive_baseline,scene,,The bright child carried a red kite across the empty field.,23,29.98140733989727,40.139739606820264,0.422077922077922,0.07182254441156075,46.42857142857143,7.90047988527168,11.0,0.0,0.8897882870265416,0.1683812454363645,1.0923557576748757,0.2400161021653773
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,0,12.350478204600535,48.785779650049776,0.39155844155844155,0.12209572212780767,43.07142857142857,13.43052943405884,11.0,0.0,0.9508168901715959,0.43007185911387674,1.31192856148824,0.6174074182069339
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,8,27.587226398618842,25.445174161354178,0.41623376623376623,0.10674509157957922,44.5,15.06268951364979,10.571428571428571,1.6035674514745464,0.9742958613804408,0.38929794649600113,1.3233812992181304,0.5688822641414895
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,15,42.86331237553371,31.20081077332283,0.4714285714285714,0.08368933734785675,51.857142857142854,9.20582710826424,11.0,0.0,1.181986781529018,0.2882874894160629,1.493683303254087,0.3752877600557508
A03,descriptive_baseline,scene,,The old woman placed a warm loaf beside the wooden table.,23,25.442759576161766,38.13705993481519,0.411038961038961,0.06952555329571489,45.214285714285715,7.647810862528636,11.0,0.0,0.8654275349208287,0.203050319839226,1.1341858039309967,0.28123946486906926
A04,descriptive_baseline,scene,,The young artist sketched a blue bird beside the quiet river.,0,28.634639544974767,41.572885564108645,0.3852813852813853,0.12200560297828307,50.857142857142854,16.104739593133363,12.0,0.0,1.001271879518187,0.4363967525312675,1.4167027863414716,0.6137745500404452
A04,descriptive_baseline,scene,,The young artist sketched a blue bird beside the quiet river.,8,32.40770619475737,24.734815309539282,0.38852813852813856,0.12281963528660854,51.285714285714285,16.212191857832327,12.0,0.0,1.0215921773538963,0.4163756993724961,1.4870455339557027,0.5841058490433747
A04,descriptive_baseline,scene,,The young artist sketched a blue bird beside the quiet river.,15,45.61070346708375,29.55583973754991,0.45779220779220775,0.08722702025805146,60.42857142857143,11.51396667406279,12.0,0.0,1.2174627130681819,0.30831831637055335,1.8024308591809164,0.4379437753478675
