prompt_id,prompt_class,prompt_subtype,pair_id,prompt_text,layer,head,token_count_actual,n_nodes,n_edges,lcc_size,density,mean_forman_curvature,mean_in_degree,mean_out_degree,max_in_degree,max_out_degree,avg_shortest_path_lcc,edge_weight_mean,edge_weight_std,row_entropy_mean,row_entropy_std
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,0,13,12,64,12,0.48484848484848486,56.62679580693356,5.333333333333333,5.333333333333333,10.0,10.0,2.0625222890153085,2.224305910905376,1.038844244164946,1.3770419034090908,0.6227987748314474
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,1,13,12,14,12,0.10606060606060606,-61.68258061295234,1.1666666666666667,1.1666666666666667,3.0,2.0,0.03476176795580045,0.9157134723783557,1.814047289583959,0.04906047474254261,0.05691602234589388
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,2,13,12,66,12,0.5,46.639444518199575,5.5,5.5,11.0,11.0,1.9988383427400047,2.016808683609734,0.6344494190349718,1.5385298295454546,0.7063666814290114
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,3,13,12,66,12,0.5,51.77245589570905,5.5,5.5,11.0,11.0,1.8799691943751875,2.099330951904098,0.7608056408084843,1.4635120738636365,0.7042493550365384
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,4,13,12,57,12,0.4318181818181818,33.87062934723461,4.75,4.75,8.0,8.0,2.1440925870268845,2.1990612945423815,1.1838134499083282,1.2442737926136365,0.5175585975692908
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,5,13,12,41,12,0.3106060606060606,7.0805195286554055,3.4166666666666665,3.4166666666666665,7.0,7.0,0.9936706893538746,2.2739761832855367,1.5347420159346143,0.68896484375,0.3717616445414627
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,6,13,12,62,12,0.4696969696969697,54.093930812731955,5.166666666666667,5.166666666666667,10.0,11.0,1.9674037210135185,2.2655616273203254,1.0780667943114146,1.2749467329545454,0.5638197550172244
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,7,13,12,37,12,0.2803030303030303,9.798344502509911,3.0833333333333335,3.0833333333333335,5.0,5.0,0.9460751075548587,2.1264412254285663,1.4805982130541266,0.6108509410511364,0.41695373663249136
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,8,13,12,62,12,0.4696969696969697,53.74015516329123,5.166666666666667,5.166666666666667,9.0,11.0,1.7248501632700122,2.2439994570513724,1.1162940678600817,1.3167169744318181,0.5891714252464348
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,9,13,12,64,12,0.48484848484848486,56.76244824108504,5.333333333333333,5.333333333333333,11.0,10.0,1.9724955660053518,2.2451938926926385,0.9923776355908589,1.3136985085227273,0.6313210084327402
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,10,13,12,59,12,0.44696969696969696,36.98105088950082,4.916666666666667,4.916666666666667,9.0,11.0,1.9056289590855289,1.9436463376229638,0.7820095586925159,1.4512606534090908,0.6700991495338328
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,11,13,12,30,12,0.22727272727272727,-35.29545314535937,2.5,2.5,5.0,5.0,0.7804054565803401,1.9909400249817537,1.6768542051588846,0.4688942649147727,0.2686932948536535
A01,descriptive_baseline,scene,,The tall man walked his big dog across the green city park.,0,12,13,12,63,12,0.4772727272727273,53.3174820642139,5.25,5.25,10.0,11.0,1.8744884016310799,2.1857980820113885,1.0137947428490295,1.3841441761363635,0.6163621658364941
